CVE_INEGI,CVE_ENT,CVE_MUN,NOM_ENT,NOM_MUN,Tarifa,Consumo 2010,Consumo 2011,Consumo 2012,Consumo 2013,Consumo 2014,Consumo 2015,Consumo 2016,Usuarios 2010,Usuarios 2011,Usuarios 2012,Usuarios 2013,Usuarios 2014,Usuarios 2015,Usuarios 2016
20365.0,20,365,Oaxaca                                            ,Santa Catarina Lachatao                           ,1,255345.0,253475.0,254283.0,236721.0,249417.0,228631.0,206227.0,616.0,638.0,636.0,641.0,644.0,650.0,663.0
20365.0,20,365,Oaxaca                                            ,Santa Catarina Lachatao                           ,DAC,0.0,0.0,3592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20366.0,20,366,Oaxaca                                            ,Santa Catarina Loxicha                            ,1,456351.0,472615.0,473393.0,481030.0,500236.0,516435.0,509986.0,919.0,961.0,967.0,980.0,995.0,1004.0,1028.0
20366.0,20,366,Oaxaca                                            ,Santa Catarina Loxicha                            ,DAC,5.0,0.0,4352.0,3291.0,0.0,2438.0,4861.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
20367.0,20,367,Oaxaca                                            ,Santa Catarina Mechoacan                          ,1B,817288.0,831661.0,843382.0,850033.0,844842.0,824101.0,768161.0,931.0,948.0,966.0,987.0,1025.0,1070.0,1092.0
20367.0,20,367,Oaxaca                                            ,Santa Catarina Mechoacan                          ,DAC,0.0,2682.0,3965.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20368.0,20,368,Oaxaca                                            ,Santa Catarina Minas                              ,1,370306.0,383097.0,386745.0,408262.0,419916.0,421521.0,425773.0,480.0,503.0,529.0,536.0,549.0,596.0,619.0
20368.0,20,368,Oaxaca                                            ,Santa Catarina Minas                              ,DAC,1192.0,4200.0,3289.0,3268.0,3370.0,5885.0,6226.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
20369.0,20,369,Oaxaca                                            ,Santa Catarina Quiane                             ,1,537560.0,562946.0,560304.0,598911.0,581308.0,566123.0,559294.0,588.0,598.0,617.0,638.0,653.0,671.0,706.0
20369.0,20,369,Oaxaca                                            ,Santa Catarina Quiane                             ,DAC,1813.0,3716.0,392.0,2842.0,4068.0,1560.0,3748.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0
20370.0,20,370,Oaxaca                                            ,Santa Catarina Tayata                             ,1,142827.0,152633.0,146879.0,147047.0,146670.0,146577.0,136038.0,331.0,345.0,347.0,354.0,358.0,361.0,371.0
20370.0,20,370,Oaxaca                                            ,Santa Catarina Tayata                             ,DAC,0.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20371.0,20,371,Oaxaca                                            ,Santa Catarina Ticua                              ,1,151055.0,169894.0,191517.0,204010.0,175211.0,210467.0,198364.0,337.0,355.0,481.0,524.0,633.0,633.0,653.0
20371.0,20,371,Oaxaca                                            ,Santa Catarina Ticua                              ,DAC,0.0,0.0,1276.0,4603.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20372.0,20,372,Oaxaca                                            ,Santa Catarina Yosonotu                           ,1,276741.0,271595.0,312675.0,256377.0,256606.0,278708.0,227998.0,479.0,517.0,576.0,586.0,586.0,638.0,677.0
20372.0,20,372,Oaxaca                                            ,Santa Catarina Yosonotu                           ,DAC,732.0,1748.0,3022.0,1247.0,4401.0,1734.0,5140.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0
20373.0,20,373,Oaxaca                                            ,Santa Catarina Zapoquila                          ,1,76603.0,79319.0,79696.0,82197.0,76541.0,73624.0,70365.0,174.0,179.0,184.0,194.0,195.0,195.0,196.0
